"en/layout","search_screen_reader","חפש"
"en/layout","search","חיפוש"
"en/activerecord/models","user","אימייל"
"en/activerecord/attributes/user","password","סיסמא"
"en/activerecord/attributes/user","email","כתובת אימייל"
"en/activerecord/errors/models/user","blank","שדה ריק"
"en/activerecord/errors/models/user/attributes/password","confirmation","סיסמא לא מתאימה לאימות סיסמא"
"en/activerecord/errors/models/user/attributes/password","blank","-- לא יכול להיות ריק"
"en/activerecord/errors/models/user/attributes/password","too_short","קצר מידי (המינימום זה %{count} תווים)"
"en/activerecord/errors/models/user/attributes/email","blank","-- חסר ערך"
"en/activerecord/errors/models/user/attributes/email","invalid","-- ערך שגוי"
"en/activerecord/errors/messages","greater_than_or_equal_to","חייב להיות שווה או גדול מ %{count}"
"en/activerecord/errors/messages","less_than_or_equal_to","חייב להיות קטן או שווה ל %{count}"
"en/activerecord/errors/messages","confirmation","סיסמא לא מתאימה לאימות סיסמא"
"en/activerecord/errors/messages","blank","לא יכול להיות ריק"
"en/activerecord/errors/messages","invalid","שדה שגוי"
"en/activerecord/errors/messages","exclusion","שדה שמור"
"en/activerecord/errors/messages","odd","חייב להיות אי זוגי"
"en/activerecord/errors/messages","even","חייב להיות זוגי"
"en/activerecord/errors/messages","wrong_length","אורך שגוי (חייב להיות %{count} תווים)"
"en/activerecord/errors/messages","too_short","אורך קצר מידי (המינימום הוא %{count} תווים)"
"en/activerecord/errors/messages","empty","לא יכול להיות ריק"
"en/activerecord/errors/messages","less_than","חייב להיות פחות מ- %{count}"
"en/activerecord/errors/messages","equal_to","חייב להיות שווה ל- %{count}"
"en/activerecord/errors/messages","greater_than","חייב להיות גדול מ- %{count}"
"en/activerecord/errors/messages","too_long","is too long (maximum is %{count} characters)"
"en/activerecord/errors/messages","accepted","חייב אישור"
"en/activerecord/errors/messages","not_a_number","ערך לא מספרי"
"en/activerecord/errors/messages","inclusion","לא כלול ברשימה"
"en/activerecord/errors/user/header","one","התהליך נכשל עקב השגיאות הבאות"
"en/activerecord/errors/user/header","other","התהליך נכשל עקב %{count} השגיאות הבאות"
"en/notification/views","hi","שלום"
"en/notification/views","click_above_link_to_answer","לחץ על הלינק בכדי לענות על השאלון"
"en/notification/views","you_got_new_questionnaire","קיבלת שאלון חדש"
"en/profile/views","required","שדה חובה"
"en/profile/views","change_password","שנה סיסמא"
"en/profile/views","edit","ערוך"
"en/profile/views","profile","פרופיל"
"en/profile/views","dear","שלום"
"en/profile/views","please_update_profile","אנא עדכן את הפרופיל שלך"
"en/questionnaire_answer/views","please_select_one_of_the_options","אנא בחר באחת מהאפשרויות"
"en/questionnaire_answer/views","all_fields_are_required","כל השדות הם שדות חובה!"
"en/questionnaire_answer/controller","was_success","מענה על השאלון הסתיים בהצלחה"
"en/questionnaire_answer/controller","no_success","מענה על השאלון נכשל"
"en/questionnaire_answer/controller","already_answered","כבר ענית על השאלון שביקשת"
"en/questionnaire_answer/controller","no_questionnaire","השאלון שביקשת אינו קיים"
"en/admin/reports","report","דוח"
"en/admin/reports","export_to_excel","יצוא לקובץ אקסל"
"en/admin/reports","show_only_confirmed_users","הצג רק משתמשים שעברו אישור משתמש"
"en/admin/reports","from","מ-"
"en/admin/reports","to","עד-"
"en/admin/reports","date_range","בחר תווך תאריכים"
"en/admin/reports","user_activities","דוח פעילות משתמש"
"en/admin/reports","display_also_profile","הצג גם פרטי פרופיל"
"en/admin/reports","users_who_signed_in","משתמשים שנכנסו למערכת"
"en/admin/reports","users_who_answered_questionnaires","משתמשים שענו על שאלונים"
"en/admin/reports","users_who_not_signed_in","משתמשים שלא נכנסו למערכת"
"en/admin/reports","user","משתמש"
"en/admin/reports","generate_report","ייצר דוח"
"en/errors/messages","not_locked","לא ננעל"
"en/errors/messages","not_found","לא נמצא"
"en/errors/messages","already_confirmed","כבר עבר אישור"
"en/views","back","חזרה"
"en/views","cancel","ביטול"
"en/views","submit","שלח"
"en/views","update","עדכן"
"en/views","signout","יציאה"
"en/devise/failure","unauthenticated","עליך להכנס עם או להרשם לפני שתוכל להמשיך"
"en/devise/failure","timeout","היית במצב לא פעיל זמן ממושך ולכן עליך להכנס שוב"
"en/devise/failure","invalid","אימייל או סיסמא שגויים"
"en/devise/failure","inactive","החשבון שלך עדיין לא עבר אקטיבציה"
"en/devise/failure","unconfirmed","עליך לאשר את החשבון שלך (הוראות באימייל שקיבלת) לפני שתוכל להמשיך"
"en/devise/failure","invalid_token","קוד אימות שגוי"
"en/devise/failure","locked","החשבון שלך נעול"
"en/devise/passwords","send_instructions","בעוד מס'פר דקות תקבל אימייל עם הוראות לאיפוס הסיסמא"
"en/devise/passwords","updated","הסיסמא שונתה בהצלחה, הנך מחובר למערכת"
"en/devise/views","sign_up","הרשמה"
"en/devise/views","sign_in","כניסה"
"en/devise/views","forgot_password","שכחת את הסיסמא, לחץ כאן"
"en/devise/views","remember_me","זכור אותי במחשב זה"
"en/devise/views","resend_confirmation_instructions","שלח מחדש הוראות אישור החשבון"
"en/devise/views","send_reset_password","שלח לי הוראות לאיפוס סיסמא"
